state_name,number of county,percentage
Arizona,15,80.0
Colorado,64,9.38
Florida,67,1.49
Georgia,159,8.18
Idaho,44,2.27
Illinois,102,10.78
Kansas,105,12.38
Kentucky,120,92.5
Michigan,83,14.46
Missouri,115,0.87
Montana,56,42.86
North Carolina,100,1.0
North Dakota,53,3.77
New Jersey,21,66.67
New Mexico,33,78.79
New York,62,16.13
Ohio,88,2.27
Pennsylvania,67,1.49
South Dakota,66,22.73
Utah,29,6.9
Virginia,133,9.02
Wisconsin,72,11.11
West Virginia,55,10.91
Wyoming,23,4.35
